image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,5,0.847403,truck,bus,False
drive_022,2,2,0.895063,bus,van,False
drive_022,3,3,0.7638,car,car,True
drive_022,4,4,0.71789,car,car,True
drive_022,5,1,0.910675,car,car,True
drive_033,1,8,0.819025,car,car,True
drive_033,2,10,0.780871,car,car,True
drive_033,5,4,0.747368,car,car,True
drive_033,9,9,0.867863,car,car,True
drive_033,10,3,0.822065,car,car,True
drive_033,14,5,0.859749,car,car,True
drive_033,15,6,0.839221,car,car,True
drive_033,16,7,0.883369,car,car,True
drive_033,17,2,0.803234,truck,bus,False
drive_033,20,1,0.983995,bus,van,False
drive_033,21,12,0.921729,bus,van,False
drive_033,22,11,0.878269,car,car,True
drive_038,1,6,0.860447,car,car,True
drive_038,2,5,0.916014,truck,bus,False
drive_038,3,7,0.802848,car,car,True
drive_038,4,8,0.923219,car,car,True
drive_038,11,3,0.935995,car,car,True
drive_038,12,2,0.926716,car,car,True
drive_038,13,1,0.96672,car,car,True
drive_038,14,4,0.849483,car,car,True
drive_038,15,17,0.925289,car,car,True
drive_038,16,16,0.869031,car,car,True
drive_038,17,10,0.890601,car,car,True
drive_038,18,14,0.934742,car,car,True
drive_038,19,13,0.876378,car,car,True
drive_038,20,11,0.879742,car,car,True
drive_038,21,12,0.757131,car,car,True
drive_038,22,15,0.892052,van,truck,False
drive_038,23,9,0.900137,truck,bus,False
drive_008,1,2,0.950849,car,car,True
drive_008,2,4,0.92216,car,car,True
drive_008,3,16,0.954711,car,car,True
drive_008,4,3,0.924617,van,truck,False
drive_008,7,9,0.956895,bus,van,False
drive_008,8,11,0.928759,car,car,True
drive_008,9,12,0.9072,van,truck,False
drive_008,10,6,0.884727,car,car,True
drive_008,13,1,0.806734,truck,bus,False
drive_008,21,7,0.84764,car,car,True
drive_008,22,13,0.721775,car,car,True
drive_008,23,14,0.892908,car,car,True
drive_008,24,15,0.383153,car,car,True
drive_008,27,5,0.820048,van,truck,False
